Date;Number of flights
15 déc 2020;1 553
16 déc 2020;1 591
17 déc 2020;2 196
18 déc 2020;2 481
19 déc 2020;2 209
20 déc 2020;2 256
21 déc 2020;1 828
22 déc 2020;1 508
23 déc 2020;1 684
24 déc 2020;1 231
25 déc 2020;364
26 déc 2020;926
27 déc 2020;1 337
28 déc 2020;1 258
29 déc 2020;1 233
30 déc 2020;1 359
31 déc 2020;952
1 janv 2021;753
2 janv 2021;1 412
3 janv 2021;1 724
4 janv 2021;1 571
5 janv 2021;1 329
6 janv 2021;1 260
7 janv 2021;1 263
8 janv 2021;1 464
9 janv 2021;1 195
10 janv 2021;1 336
11 janv 2021;1 056
12 janv 2021;975
13 janv 2021;980
14 janv 2021;1 080
15 janv 2021;1 173
16 janv 2021;807
17 janv 2021;909
18 janv 2021;934
19 janv 2021;876
20 janv 2021;834
21 janv 2021;923
22 janv 2021;1 073
23 janv 2021;696
24 janv 2021;752
25 janv 2021;852
26 janv 2021;839
27 janv 2021;860
28 janv 2021;929
29 janv 2021;983
30 janv 2021;759
31 janv 2021;812
1 févr 2021;848
2 févr 2021;825
3 févr 2021;871
4 févr 2021;908
5 févr 2021;1 032
6 févr 2021;742
7 févr 2021;743
8 févr 2021;796
9 févr 2021;740
10 févr 2021;926
11 févr 2021;981
12 févr 2021;1 058
13 févr 2021;771
14 févr 2021;772
15 févr 2021;892
16 févr 2021;798
17 févr 2021;862
18 févr 2021;974
19 févr 2021;976
20 févr 2021;700
21 févr 2021;835
22 févr 2021;885
23 févr 2021;796
24 févr 2021;929
25 févr 2021;1 015
26 févr 2021;1 059
27 févr 2021;768
28 févr 2021;879
1 mars 2021;944
2 mars 2021;904
3 mars 2021;977
4 mars 2021;1 068
5 mars 2021;1 092
6 mars 2021;743
7 mars 2021;864
8 mars 2021;937
9 mars 2021;913
10 mars 2021;953
11 mars 2021;976
12 mars 2021;1 096
13 mars 2021;714
14 mars 2021;895
15 mars 2021;959
16 mars 2021;947
